pārbaudījums nosaukums,Izglītības iestāde,Kopvērtējums,Kārtotāju skaits
Eksāmens angļu valodā 9.klasei 9. klase,Krāslavas Varavīksnes vidusskola,53.72,39
Eksāmens angļu valodā 9.klasei 9. klase,Krimuldas vidusskola,74.39,18
Eksāmens angļu valodā 9.klasei 9. klase,Kristiāna Dāvida pamatskola,76.00,5
Eksāmens angļu valodā 9.klasei 9. klase,Krotes Kronvalda Ata pamatskola,78.17,6
Eksāmens angļu valodā 9.klasei 9. klase,Krustpils pamatskola,68.67,9
Eksāmens angļu valodā 9.klasei 9. klase,Kuldīgas 2. vidusskola,73.47,33
Eksāmens angļu valodā 9.klasei 9. klase,Kuldīgas Centra vidusskola,75.32,41
Eksāmens angļu valodā 9.klasei 9. klase,Kuldīgas Mākslas un humanitāro zinību vidusskola,83.41,27
Eksāmens angļu valodā 9.klasei 9. klase,Kusas pamatskola,55.75,6
Eksāmens angļu valodā 9.klasei 9. klase,Lāču pamatskola,53.00,9
Eksāmens angļu valodā 9.klasei 9. klase,Lādezera pamatskola,71.50,11
Eksāmens angļu valodā 9.klasei 9. klase,Laidu pamatskola,88.88,4
Eksāmens angļu valodā 9.klasei 9. klase,Lapmežciema pamatskola,75.27,15
Eksāmens angļu valodā 9.klasei 9. klase,Latvijas Zinātņu tālmācības vidusskola,69.15,65
Eksāmens angļu valodā 9.klasei 9. klase,Laucesas pamatskola,44.92,6
Eksāmens angļu valodā 9.klasei 9. klase,Laucienes pamatskola,70.40,10
Eksāmens angļu valodā 9.klasei 9. klase,Lazdonas pamatskola,74.60,5
Eksāmens angļu valodā 9.klasei 9. klase,Lēdmanes pamatskola,74.50,8
Eksāmens angļu valodā 9.klasei 9. klase,Lejasciema vidusskola,82.95,10
Eksāmens angļu valodā 9.klasei 9. klase,Lielvārdes pamatskola,80.86,18
Eksāmens angļu valodā 9.klasei 9. klase,Liepājas 3. pamatskola,55.06,24
Eksāmens angļu valodā 9.klasei 9. klase,Liepājas 7. vidusskola,57.52,63
Eksāmens angļu valodā 9.klasei 9. klase,Liepājas 8. vidusskola,60.97,50
Eksāmens angļu valodā 9.klasei 9. klase,Liepājas Katoļu pamatskola,74.40,15
Eksāmens angļu valodā 9.klasei 9. klase,Liepājas Liedaga vidusskola,58.76,68
Eksāmens angļu valodā 9.klasei 9. klase,Liepājas Raiņa 6. vidusskola,80.18,73
Eksāmens angļu valodā 9.klasei 9. klase,Liepājas Valsts 1. ģimnāzija,81.18,97
Eksāmens angļu valodā 9.klasei 9. klase,Liepas pamatskola,75.70,5
Eksāmens angļu valodā 9.klasei 9. klase,Liepu pamatskola,40.90,5
Eksāmens angļu valodā 9.klasei 9. klase,Liepupes pamatskola,74.86,11
Eksāmens angļu valodā 9.klasei 9. klase,Liezēres pamatskola,55.64,7
Eksāmens angļu valodā 9.klasei 9. klase,Limbažu Valsts ģimnāzija,78.48,62
Eksāmens angļu valodā 9.klasei 9. klase,Limbažu vidusskola,76.64,18
Eksāmens angļu valodā 9.klasei 9. klase,Līvānu 1. vidusskola,81.92,26
Eksāmens angļu valodā 9.klasei 9. klase,Līvānu 2. vidusskola,36.83,9
Eksāmens angļu valodā 9.klasei 9. klase,Līvbērzes pamatskola,74.81,8
Eksāmens angļu valodā 9.klasei 9. klase,Lizuma vidusskola,69.88,8
Eksāmens angļu valodā 9.klasei 9. klase,Lubānas vidusskola,71.50,12
Eksāmens angļu valodā 9.klasei 9. klase,Lūcijas Rancānes Makašānu Amatu vidusskola,65.50,1
Eksāmens angļu valodā 9.klasei 9. klase,Ludzas 2. vidusskola,58.46,23
Eksāmens angļu valodā 9.klasei 9. klase,Ludzas pilsētas vidusskola,63.42,30
Eksāmens angļu valodā 9.klasei 9. klase,Lutriņu pamatskola,66.40,5
Eksāmens angļu valodā 9.klasei 9. klase,Madlienas vidusskola,74.78,23
Eksāmens angļu valodā 9.klasei 9. klase,Madonas pilsētas vidusskola,73.72,46
Eksāmens angļu valodā 9.klasei 9. klase,Madonas Valsts ģimnāzija,84.29,39
Eksāmens angļu valodā 9.klasei 9. klase,Malienas pamatskola,67.00,1
Eksāmens angļu valodā 9.klasei 9. klase,Mālpils vidusskola,69.24,17
Eksāmens angļu valodā 9.klasei 9. klase,Maltas vidusskola,54.80,27
Eksāmens angļu valodā 9.klasei 9. klase,Mārupes pamatskola,82.92,26
Eksāmens angļu valodā 9.klasei 9. klase,Mārupes Valsts ģimnāzija,85.23,146
Eksāmens angļu valodā 9.klasei 9. klase,Māteru Jura Kazdangas pamatskola,72.94,8
Eksāmens angļu valodā 9.klasei 9. klase,Matīšu pamatskola,56.25,4
