pārbaudījums nosaukums,Izglītības iestāde,Kopvērtējums,Kārtotāju skaits
Eksāmens latviešu valoda 9.klasei 9. klase,Vecpiebalgas vidusskola,60.75,23
Eksāmens latviešu valoda 9.klasei 9. klase,Vecsaules pamatskola,66.31,16
Eksāmens latviešu valoda 9.klasei 9. klase,Vecumnieku vidusskola,64.01,32
Eksāmens latviešu valoda 9.klasei 9. klase,Ventspils 1. pamatskola,67.95,24
Eksāmens latviešu valoda 9.klasei 9. klase,Ventspils 2. pamatskola,61.20,14
Eksāmens latviešu valoda 9.klasei 9. klase,Ventspils 4. vidusskola,70.74,60
Eksāmens latviešu valoda 9.klasei 9. klase,Ventspils 6. vidusskola,73.68,21
Eksāmens latviešu valoda 9.klasei 9. klase,Ventspils Pārventas pamatskola,67.67,24
Eksāmens latviešu valoda 9.klasei 9. klase,Ventspils Valsts 1. ģimnāzija,75.52,56
Eksāmens latviešu valoda 9.klasei 9. klase,Verēmu pamatskola,63.79,12
Eksāmens latviešu valoda 9.klasei 9. klase,Vērgales pamatskola,75.09,10
Eksāmens latviešu valoda 9.klasei 9. klase,VESETAS IELA 9,77.27,4
Eksāmens latviešu valoda 9.klasei 9. klase,Vestienas pamatskola,67.12,3
Eksāmens latviešu valoda 9.klasei 9. klase,Viduču pamatskola,62.27,8
Eksāmens latviešu valoda 9.klasei 9. klase,Viesītes vidusskola,65.03,33
Eksāmens latviešu valoda 9.klasei 9. klase,Viļakas Valsts ģimnāzija,81.89,12
Eksāmens latviešu valoda 9.klasei 9. klase,Viļānu vidusskola,52.79,22
Eksāmens latviešu valoda 9.klasei 9. klase,Vilces pamatskola,56.53,11
Eksāmens latviešu valoda 9.klasei 9. klase,Vīpes pamatskola,61.25,4
Eksāmens latviešu valoda 9.klasei 9. klase,Vircavas vidusskola,69.23,20
Eksāmens latviešu valoda 9.klasei 9. klase,Z.A. Meierovica Kabiles pamatskola,58.43,9
Eksāmens latviešu valoda 9.klasei 9. klase,Zaļenieku komerciālā un amatniecības vidusskola,68.56,12
Eksāmens latviešu valoda 9.klasei 9. klase,Zantes pamatskola,60.27,10
Eksāmens latviešu valoda 9.klasei 9. klase,Zasas vidusskola,56.01,14
Eksāmens latviešu valoda 9.klasei 9. klase,Zaubes pamatskola,62.05,6
Eksāmens latviešu valoda 9.klasei 9. klase,Zemgales vidusskola,53.75,29
Eksāmens latviešu valoda 9.klasei 9. klase,Zentas Mauriņas Grobiņas vidusskola,61.87,92
Eksāmens latviešu valoda 9.klasei 9. klase,Ziemeļvalstu ģimnāzija,62.12,87
Eksāmens latviešu valoda 9.klasei 9. klase,Ziemeru pamatskola,63.79,9
Eksāmens latviešu valoda 9.klasei 9. klase,Žīguru pamatskola,57.95,2
Eksāmens latviešu valoda 9.klasei 9. klase,Zilupes vidusskola,57.90,13
Eksāmens latviešu valoda 9.klasei 9. klase,Zirņu pamatskola,55.86,9
Eksāmens latviešu valoda 9.klasei 9. klase,Zūru pamatskola,60.78,21
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Ābeļu pamatskola,51.76,11
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Ādažu vidusskola,67.44,110
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Āgenskalna Valsts ģimnāzija,75.84,115
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Aglonas Katoļu ģimnāzija,61.41,5
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Aglonas vidusskola,56.96,12
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Aizkraukles novada vidusskola,62.16,73
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Aizputes pagasta pamatskola,49.12,12
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Aizputes vidusskola,62.83,37
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Aizupes pamatskola,68.82,10
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Aknīstes vidusskola,72.39,17
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Alekseja Grāvīša Liepnas pamatskola,65.41,10
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Allažu pamatskola,55.29,13
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Alojas Ausekļa vidusskola,52.65,12
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Alsungas pamatskola,72.16,9
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Alūksnes novada vidusskola,48.14,12
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Amatas pamatskola,72.44,7
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Ances pamatskola,53.53,6
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Andreja Eglīša Ļaudonas vidusskola,56.40,17
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Andreja Pumpura Rīgas 11. pamatskola,71.71,40
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Andreja Upīša Skrīveru vidusskola,68.14,38
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Andrupenes pamatskola,45.55,7
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Annas Brigaderes pamatskola,46.62,8
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Ata Kronvalda Durbes pamatskola,58.82,8
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Auces vidusskola,54.78,41
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Augstkalnes pamatskola,50.07,9
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Babītes vidusskola,64.58,84
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Baldones vidusskola,65.62,58
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Baložu vidusskola,57.88,50
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Baltinavas vidusskola,71.09,7
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Balvu profesionālā un vispārizglītojošā vidusskola,52.49,21
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Balvu Valsts ģimnāzija,55.17,58
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Barkavas pamatskola,68.68,8
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Baumaņu Kārļa Viļķenes pamatskola,75.97,7
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Bauskas 2. vidusskola,60.37,57
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Bauskas pilsētas pamatskola,54.29,41
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Bauskas Valsts ģimnāzija,67.38,65
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Bebrenes vispārizglītojošā un profesionālā vidusskola,79.68,11
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Bebru pamatskola,62.21,8
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Bejas pamatskola,65.18,5
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Bēnes pamatskola,52.12,10
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Berģu Mūzikas un mākslas pamatskola,64.33,22
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Bērzaunes pamatskola,58.47,10
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Bērzpils pamatskola,55.63,7
Eksāmens Latvijas vēsturē 9.klasei 9. klase,"Biedrības ""Tautskola 99 Baltie zirgi"" pamatskola",94.12,1
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Biķernieku pamatskola,56.47,8
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Bikstu pamatskola,65.88,9
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Bilskas pamatskola,59.22,3
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Birzgales pamatskola,61.01,7
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Biržu pamatskola,78.24,10
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Blīdenes pamatskola,63.18,10
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Blomes pamatskola,56.18,8
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Brāļu Skrindu Atašienes vidusskola,70.91,11
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Brocēnu vidusskola,62.45,36
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Burtnieku Ausekļa pamatskola,57.06,8
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Carnikavas pamatskola,61.79,21
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Cēres pamatskola,50.44,8
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Cēsu 1. pamatskola,69.90,34
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Cēsu 2. pamatskola,68.88,22
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Cēsu Bērzaines pamatskola-attīstības centrs,64.38,11
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Cēsu Pilsētas vidusskola,52.72,48
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Cēsu Valsts ģimnāzija,82.30,41
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Cesvaines vidusskola,71.40,29
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Ciblas vidusskola,47.84,9
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Cieceres pamatskola,53.16,11
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Codes pamatskola,60.82,10
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Dagdas vidusskola,62.96,33
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Daudzeses pamatskola,62.03,11
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Daugavgrīvas cietums,54.38,9
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Daugavpils 10. vidusskola,58.63,54
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Daugavpils 11. pamatskola,34.33,17
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Daugavpils 12. vidusskola,56.03,45
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Daugavpils 13. vidusskola,59.26,68
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Daugavpils 15. vidusskola,54.29,70
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Daugavpils 16. vidusskola,57.00,47
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Daugavpils 17. vidusskola,53.36,14
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Daugavpils 3. vidusskola,65.83,66
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Daugavpils 9. vidusskola,60.07,53
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Daugavpils Centra vidusskola,63.15,40
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Daugavpils Saskaņas pamatskola,78.77,44
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Daugavpils Tehnoloģiju vidusskola - licejs,81.54,58
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Daugavpils Valsts ģimnāzija,69.41,36
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Daugavpils Vienības pamatskola,66.83,26
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Daugmales pamatskola,72.09,11
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Dāvja Ozoliņa Apes pamatskola,54.53,17
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Degumnieku pamatskola,58.24,10
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Dekšāru pamatskola,61.18,6
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Dienvidkurzemes 2. vidusskola,46.67,6
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Dignājas pamatskola,47.45,3
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Dobeles 1. vidusskola,51.63,51
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Dobeles Amatniecības un vispārizglītojošā vidusskola,39.41,6
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Dobeles Valsts ģimnāzija,75.35,58
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,61.60,22
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola,56.34,89
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Dricānu vidusskola,47.97,22
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Drustu struktūrvienība,58.04,3
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Druvas vidusskola,51.18,42
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Dundagas vidusskola,63.35,20
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Dzelzavas pamatskola,64.71,6
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Dzērbenes vispārizglītojošā un mūzikas pamatskola,68.24,2
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Dzērves pamatskola,75.72,11
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Džūkstes pamatskola,45.21,7
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Edgara Kauliņa Lielvārdes vidusskola,62.11,39
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Ēdoles pamatskola,60.20,6
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Eglaines pamatskola,54.71,6
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Elejas vidusskola,71.43,28
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Emīla Dārziņa mūzikas skola,70.17,39
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Engures vidusskola,55.41,21
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Ērģemes pamatskola,29.71,4
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Ērgļu vidusskola,57.28,19
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Ernsta Glika Alūksnes Valsts ģimnāzija,72.06,55
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Ezeres pamatskola,68.24,9
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Ezernieku vidusskola,73.16,16
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Feimaņu pamatskola,49.08,7
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Friča Brīvzemnieka pamatskola,60.90,26
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Gaigalavas pamatskola,66.86,6
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Galēnu pamatskola,64.71,7
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Gardenes pamatskola,53.45,14
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Garkalnes Mākslu un vispārizglītojošā pamatskola,60.15,23
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Garlība Merķeļa Lēdurgas pamatskola,63.29,10
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Garozas pamatskola,65.10,6
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Griķu pamatskola,73.33,12
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Grundzāles pamatskola,64.37,7
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Gulbenes novada vidusskola,54.91,96
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Gulbīša pamatskola,54.12,10
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Iecavas pamatskola,45.96,16
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Iecavas vidusskola,68.68,71
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Ikšķiles vidusskola,69.64,91
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Iļģuciema vidusskola,60.88,36
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Ilmāra Gaiša Kokneses vidusskola,63.21,37
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Ilūkstes Raiņa vidusskola,51.37,45
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Inčukalna pamatskola,42.94,14
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Indras pamatskola,52.65,4
Eksāmens Latvijas vēsturē 9.klasei 9. klase,"Informācijas sistēmu menedžmenta augstskolas vidusskola ""PREMJERS""",61.18,7
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Irlavas pamatskola,57.47,13
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Īslīces pamatskola,71.40,13
Eksāmens Latvijas vēsturē 9.klasei 9. klase,J. Čakstes Liepājas pilsētas 10. vidusskola,60.22,58
Eksāmens Latvijas vēsturē 9.klasei 9. klase,J. Endzelīna Kauguru pamatskola,61.54,13
Eksāmens Latvijas vēsturē 9.klasei 9. klase,J. Raiņa Daugavpils 6. pamatskola,39.34,16
Eksāmens Latvijas vēsturē 9.klasei 9. klase,J.G.Herdera Rīgas Grīziņkalna vidusskola,45.45,70
Eksāmens Latvijas vēsturē 9.klasei 9. klase,J.Pilsudska Daugavpils valsts poļu ģimnāzija,63.82,24
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Jāņa Eglīša Preiļu Valsts ģimnāzija,63.90,16
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Jankas Kupalas Rīgas Baltkrievu pamatskola,68.35,10
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Jaunannas Mūzikas un mākslas pamatskola,47.06,2
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Jaunciema pamatskola,69.24,7
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Jaunjelgavas vidusskola,44.19,16
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Jaunmārupes pamatskola,69.25,52
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Jauno Līderu vidusskola,57.39,9
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Jaunogres vidusskola,55.43,60
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Jaunpiebalgas vidusskola,52.55,27
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Jaunpils vidusskola,58.50,18
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Jaunsilavas pamatskola,56.81,7
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Jēkabpils 2. vidusskola,60.59,42
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Jēkabpils 3. vidusskola,51.12,66
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Jēkabpils Valsts ģimnāzija,62.26,104
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Jelgavas 4. vidusskola,49.91,81
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Jelgavas 5. vidusskola,50.50,41
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Jelgavas Amatu vidusskola,38.14,31
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Jelgavas Centra pamatskola,50.66,34
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Jelgavas cietums,67.06,2
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Jelgavas novada Neklātienes vidusskola,46.74,11
Eksāmens Latvijas vēsturē 9.klasei 9. klase,"Jelgavas pamatskola ""Valdeka"" - attīstības centrs",68.63,3
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Jelgavas Pārlielupes pamatskola,47.69,54
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Jelgavas Spīdolas Valsts ģimnāzija,70.83,96
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Jelgavas Tehnoloģiju vidusskola,58.89,71
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Jelgavas Valsts ģimnāzija,73.58,142
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Jersikas pamatskola,59.85,8
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Jumpravas pamatskola,68.82,10
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Jura Neikena Dikļu pamatskola,54.38,9
Eksāmens Latvijas vēsturē 9.klasei 9. klase,JŪRMALA,51.76,9
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Jūrmalas Aspazijas pamatskola,63.42,11
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Jūrmalas Jaundubultu vidusskola,52.25,34
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Jūrmalas Kauguru vidusskola,59.38,49
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Jūrmalas Ķemeru pamatskola,50.12,15
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Jūrmalas Majoru vidusskola,65.41,40
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Jūrmalas Mežmalas vidusskola,53.65,35
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Jūrmalas Pumpuru vidusskola,54.14,48
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Jūrmalas Slokas pamatskola,62.59,25
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Jūrmalas Vaivaru pamatskola,56.00,15
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Jūrmalas Valsts ģimnāzija,73.13,61
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Kalētu Mūzikas un mākslas pamatskola,53.73,9
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Kalnciema pagasta vidusskola,51.76,10
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Kalnciema vidusskola,55.51,22
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Kalsnavas pamatskola,46.93,9
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Kalupes pamatskola,70.00,2
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Kalvenes pamatskola,67.65,6
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Kandavas Kārļa Mīlenbaha vidusskola,60.02,48
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Kandavas Reģionālā pamatskola,52.49,13
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Kārsavas vidusskola,63.68,23
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Kaunatas vidusskola,50.65,19
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Ķeguma vidusskola,61.48,35
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Ķeipenes pamatskola,72.35,4
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Ķekavas vidusskola,61.82,101
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Kocēnu pamatskola,64.85,24
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Kolkas pamatskola,58.12,5
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Krāslavas ģimnāzija,60.07,49
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Krāslavas gr. Plāteru v.n. Poļu pamatskola,41.51,7
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Krāslavas Varavīksnes vidusskola,52.07,39
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Krimuldas vidusskola,61.36,26
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Kristiāna Dāvida pamatskola,63.76,5
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Krotes Kronvalda Ata pamatskola,51.96,6
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Krustpils pamatskola,53.76,20
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Kuldīgas 2. vidusskola,63.03,33
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Kuldīgas Centra vidusskola,52.97,41
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Kuldīgas Mākslas un humanitāro zinību vidusskola,61.00,27
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Kusas pamatskola,65.88,7
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Lāču pamatskola,51.37,9
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Lādezera pamatskola,62.14,11
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Laidu pamatskola,85.59,4
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Lapmežciema pamatskola,56.62,16
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Latvijas Zinātņu tālmācības vidusskola,52.17,72
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Laucesas pamatskola,50.78,6
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Laucienes pamatskola,65.76,10
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Lazdonas pamatskola,54.12,6
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Lēdmanes pamatskola,69.63,11
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Lejasciema vidusskola,66.96,12
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Lielvārdes pamatskola,66.20,30
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Liepājas 3. pamatskola,56.68,23
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Liepājas 7. vidusskola,52.44,63
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Liepājas 8. vidusskola,50.87,55
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Liepājas Katoļu pamatskola,62.48,18
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Liepājas Liedaga vidusskola,64.52,68
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Liepājas Raiņa 6. vidusskola,57.04,81
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Liepājas Valsts 1. ģimnāzija,62.01,105
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Liepas pamatskola,72.55,15
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Liepu pamatskola,41.88,5
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Liepupes pamatskola,58.50,11
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Liezēres pamatskola,54.31,6
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Limbažu Valsts ģimnāzija,71.69,64
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Limbažu vidusskola,60.65,18
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Līvānu 1. vidusskola,64.50,35
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Līvānu 2. vidusskola,50.07,9
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Līvbērzes pamatskola,56.24,10
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Lizuma vidusskola,54.25,9
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Lubānas vidusskola,47.78,13
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Lūcijas Rancānes Makašānu Amatu vidusskola,60.39,6
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Ludzas 2. vidusskola,64.75,29
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Ludzas pilsētas vidusskola,59.42,57
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Lutriņu pamatskola,39.41,6
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Madlienas vidusskola,71.81,27
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Madonas pilsētas vidusskola,53.62,54
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Madonas Valsts ģimnāzija,74.57,44
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Malienas pamatskola,35.88,2
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Mālpils vidusskola,67.45,21
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Maltas vidusskola,54.61,38
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Mārupes pamatskola,59.97,35
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Mārupes Valsts ģimnāzija,59.08,154
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Māteru Jura Kazdangas pamatskola,71.11,9
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Matīšu pamatskola,49.67,9
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Mazozolu filiāle,63.92,3
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Mazsalacas vidusskola,55.53,15
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Mazzalves pamatskola,73.65,5
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Meņģeles filiāle,54.90,3
Eksāmens Latvijas vēsturē 9.klasei 9. klase,Mērdzenes pamatskola,69.71,4
