Novads/republikas pilsēta,Iestādes reģistrācijas Nr.,Iestādes nosaukums,Iestādes veids,Iestādes tips,Pakļautība,Adreses ATVK kods,Pedagogu skaits (unikālie PK),"Pedagoģisko amatu vietu skaits, no tiem:",Arodmācības skolotājs/amatmācības skolotājs,Direktora vietnieks (izglītības jomā),Direktors (izglītības jomā),Diriģents,Horeogrāfs,Interešu izglītības skolotājs,"Internāta, dienesta viesnīcas skolotājs",Izglītības iestādes bibliotekārs,Izglītības iestādes bibliotekārs (ceturtā un trešā līmeņa kvalifikācija),Izglītības iestādes muzeju pedagogs,Izglītības metodiķis,Izglītības psihologs,Koncertmeistars,Pagarinātās dienas grupas skolotājs,Pamatdarbības struktūrvienības vadītāja vietnieks/ direktora vietnieks (izglītības jomā),Pamatdarbības struktūrvienības VADĪTĀJS/ DIREKTORS (izglītības jomā),Pedagoga palīgs,Pedagogs karjeras konsultants,Pirmsskolas izglītības metodiķis,Pirmsskolas izglītības mūzikas skolotājs,Pirmsskolas izglītības skolotājs,Pirmsskolas izglītības sporta skolotājs,Profesionālās ievirzes skolotājs,Profesionālās izglītības skolotājs,Sākumizglītības skolotājs,Skolas direktora vietnieks,Skolas direktors,Skolotājs baleta mākslinieks,Skolotājs logopēds,Skolotājs mentors,Sociālais pedagogs,Speciālais pedagogs,Speciālās izglītības skolotājs,Sporta organizators,Sporta treneris,Sporta treneris ,Vadītāja vietnieks (izglītības jomā),Vadītāja vietnieks/direktora vietnieks (izglītības jomā),Vadītājs (izglītības jomā),Vadītājs/direktors (izglītības jomā),Vispārējās pamatizglītības skolotājs,Vispārējās vidējās izglītības skolotājs
DOBELES NOVADS,4511903050,Lejasstrazdu sākumskola,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,Pašvaldība ,460260,14,28,,,,,,6,,1,,,,2,,4,,,1,,,,3,,,,7,,1,,1,,,,,,,,,2,,,,
DOBELES NOVADS,4511903252,Dobeles sākumskola,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,Pašvaldība ,460201,33,56,,1,,,,12,,2,,,,,,7,,,1,,,,,,,,3,1,1,,1,,,,4,,,,,1,,,21,1
DOBELES NOVADS,4512900867,Bikstu pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,460254,18,42,,,,,,7,,1,,,,,,4,,,,,,,1,,,,,1,1,,,,,,10,,,,,,,,17,
DOBELES NOVADS,4512900874,Gardenes pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,460246,29,47,,,,,,7,,1,,,,,,4,,,,,,1,10,3,,,,2,1,,1,,1,,,,,,,1,,,15,
DOBELES NOVADS,4512900878,Penkules pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,460284,19,40,,,,,,6,,1,,,,,,5,,,,,,,3,,,,,,1,,,,1,,6,,,,,2,,,15,
DOBELES NOVADS,4512900881,Mežinieku pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,460268,20,37,,1,,,,6,,1,,,,,,4,,,3,,,,,,,,,,1,,1,,,,1,,,,,1,,,18,
DOBELES NOVADS,4513900890,Dobeles 1. vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,460201,65,101,,,,,,17,,1,,,,,,8,,,,,,,,,,,17,5,1,,3,,,3,2,,,,,,,,37,7
DOBELES NOVADS,4519902412,Dobeles Valsts ģimnāzija,Vispārējās izglītības iestāde,Valsts ģimnāzija,Pašvaldība ,460201,53,66,,,,,,9,,1,,,1,,,,,,,,,,,,,,,4,1,,,,1,,,,,,,,,,,49
DOBELES NOVADS,4522900892,Bērzupes speciālā pamatskola,Speciālās izglītības iestāde,Speciālā pamatskola,Pašvaldība ,460242,30,57,,,,,,7,16,1,,,,1,,,,,,,,1,1,,,6,,2,1,,1,,1,,19,,,,,,,,,
DOBELES NOVADS,4531902884,Dobeles Amatniecības un vispārizglītojošā vidusskola,Profesionālās pamata un vidējās izglītības iestāde,Profesionālās vidējās izglītības iestāde,Pašvaldība ,460201,44,69,,2,,,,8,1,1,,,2,,,,,,,,,,,,,31,,1,1,,,,1,,,,,,,1,,,2,18
DUNDAGAS NOVADS,4101901588,"Dundagas pirmsskolas izglītības iestāde ""Kurzemīte""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,885150,21,21,,,,,,,,,,,,,,,,,,,,1,17,,,,,,,,1,,,,,,,,1,,,1,,
DUNDAGAS NOVADS,4112900615,Kolkas pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,885162,16,30,,1,,,,6,,1,,,,,,3,,,2,,,,5,,,,1,,1,,,,,,,,,,,,,,10,
DUNDAGAS NOVADS,4113900621,Dundagas vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,885150,44,66,,,,,,13,,1,,,,1,,6,,,,,,,,,,,2,,1,,2,,,1,1,,,,,4,,,24,10
DURBES NOVADS,4101901753,"Durbes pirmsskolas izglītības iestāde ""Ābolītis""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,640807,14,14,,,,,,,,,,,1,,,,,,,,,1,10,,,,,,,,1,,,,,,,,,,,1,,
DURBES NOVADS,4112903172,Ata Kronvalda Durbes pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,640807,26,43,,,,,,8,,1,,,,1,,,,,1,1,,,,,3,1,,2,1,,1,,,3,,,,,,1,,,19,
ENGURES NOVADS,4301902664,"Engures pirmsskolas izglītības iestāde ""Spārīte""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,905150,14,16,,,,,,,,,,,,,,,,,,,1,1,10,1,,,,,,,2,,,,,,,,,,,1,,
ENGURES NOVADS,4311900252,Milzkalnes sākumskola,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,Pašvaldība ,905182,12,18,,,,,,4,,,,,,1,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,11,
ENGURES NOVADS,4312900208,Lapmežciema pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,905166,37,55,,1,,,,8,,1,,,,1,2,4,,,2,2,,1,10,2,,,1,,,,1,,1,,,,,,,1,,1,16,
ENGURES NOVADS,4312900209,Smārdes pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,905182,34,50,,,,,,8,,1,,,,1,1,1,1,,2,1,,1,12,,,,,,1,,1,,1,,,,,,,1,,,17,
ENGURES NOVADS,4313900228,Engures vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,905150,28,42,,,,,,8,,1,,,,1,,,,,4,,,,,,,,,,1,,1,,,,,,,,,2,,,12,12
ĒRGĻU NOVADS,4401900088,"Ērgļu novada pirmsskolas izglītības iestāde ""Pienenīte""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,705554,18,18,,,,,,,,,,,,,,,,,,,1,1,12,2,,,,,,,1,,,,,,,,,,,1,,
ĒRGĻU NOVADS,4413900131,Ērgļu vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,705554,30,42,,,,,,7,,1,,,,,,,,,4,,,,,,,,3,2,1,,1,,1,,,,,,,,,,5,17
GARKALNES NOVADS,4301802339,"Privātā pirmsskolas izglītības iestāde ""Langstiņi""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Juridiska vai fiziska persona,806000,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
GARKALNES NOVADS,4301802835,"Pirmsskolas izglītības iestāde ""Mīlulis""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Juridiska vai fiziska persona,806000,2,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
GARKALNES NOVADS,4301802980,"Privātā pirmsskolas izglītības iestāde ""Mazputniņi""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Juridiska vai fiziska persona,806000,5,5,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,1,,
GARKALNES NOVADS,4301903255,"Garkalnes novada pašvaldības pirmsskolas izglītības iestāde ""Čiekuriņš""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,806000,31,33,,,,,,,,,,,1,1,,,,,,,,1,25,1,,,,,,,2,,,,,,,,,1,1,,,
GARKALNES NOVADS,4301903257,"Garkalnes novada pašvaldības pirmsskolas izglītības iestāde ""Skudriņas""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,806000,9,9,,,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,,,,,,,,,,,,,
GARKALNES NOVADS,4312902828,Berģu Mūzikas un mākslas pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,806000,68,93,,,,,,10,,1,,,1,1,,16,,,,,,,,,20,,3,3,1,,1,,,,,,,,,,,,36,
GARKALNES NOVADS,4312903195,Garkalnes Mākslu un vispārizglītojošā pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,806000,45,61,,,,,,10,,,,,,,,,,,,2,,,,,13,,,,1,,,,,,,,,,,1,,,34,
GROBIŅAS NOVADS,4101901737,"Medzes pagasta pirmsskolas izglītības iestāde ""Čiekuriņš""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,641076,13,14,,,,,,,,,,,1,,,,,,,,,1,10,,,,,,,,1,,,,,,,,,,,1,,
GROBIŅAS NOVADS,4101901762,"Grobiņas pilsētas pirmsskolas izglītības iestāde ""Pīpenīte""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,641009,27,27,,,,,,,,,,,,,,,,,,,,2,20,1,,,,,,,1,,,,1,,,,,1,,1,,
GROBIŅAS NOVADS,4101903299,"Grobiņas novada pirmsskolas izglītības iestāde ""Ūdelīte""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,641000,21,22,,,,,,,,,,,,,,,,,,,1,2,15,1,,,,,,,2,,,,,,,,,,,1,,
GROBIŅAS NOVADS,4113903297,Zentas Mauriņas Grobiņas novada vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,641009,119,166,,3,,,,33,,3,,,,2,,12,,,,,,,,,,,,1,1,,2,,2,2,,,,,,,,,92,13
GULBENES NOVADS,4401901915,"Jaungulbenes pirmsskolas izglītības iestāde ""Pienenīte""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,500260,8,10,,,,,,,,,,,,,,,,,,,,1,5,1,,,,,,,1,,,,,,,,,1,,1,,
GULBENES NOVADS,4401901929,"Lejasciema pirmsskolas izglītības iestāde ""Kamenīte""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,500264,10,12,,,,,,,,,,,,,,,,,,,1,1,7,1,,,,,,,1,,,,,,,,,,,1,,
GULBENES NOVADS,4401901930,"Gulbenes 3. pirmsskolas izglītības iestāde ""Auseklītis""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,500201,27,28,,,,,,,,,,,,1,,,,,,,,1,20,1,,,,,,,2,,,,2,,,,,1,,,,
GULBENES NOVADS,4401901931,"Rankas pirmsskolas izglītības iestāde ""Ābelīte""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,500284,9,12,,,,,,1,,,,,,,,,,,,,,1,7,1,,,,,,,1,,,,,,,,,1,,,,
GULBENES NOVADS,4401901932,Gulbenes 1. pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,500201,18,20,,,,,,2,,,,,,,,,,,1,,,1,11,1,,,,,,,1,,,,1,,,,,1,,1,,
GULBENES NOVADS,4401901933,"Gulbenes 2. pirmsskolas izglītības iestāde ""Rūķītis""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,500201,14,15,,,,,,,,,,,,,,,,,1,,,1,9,1,,,,,,,1,,,,,,,,,1,,1,,
GULBENES NOVADS,4401902010,Stāķu pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,500290,14,17,,,,,,,,,,,,,,,,,,,1,2,10,2,,,,,,,1,,,,,,,,,,,1,,
GULBENES NOVADS,4401903331,"Gulbenes novada pirmsskolas izglītības iestāde ""Ābolīši""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,500244,15,16,,,,,,,,,,,,,,,,,,,1,2,10,1,,,,,,,1,,,,,,,,,,,1,,
GULBENES NOVADS,4412900952,Stāķu pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,500290,26,41,,,,,,8,1,1,,,,,,4,,,3,,,,,,,,,1,1,,,,1,,,,,,,,,,21,
GULBENES NOVADS,4412900955,Rankas pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,500284,19,33,,,,,,9,2,1,,,,,,1,,,2,,,,,,,,,1,1,,,,,,,,,,,,,,16,
GULBENES NOVADS,4412900959,Tirzas pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,500294,22,47,,,,,,6,1,,1,,,,,3,,,7,,,1,5,2,,,,3,1,,1,,,1,,,,,,,,,15,
GULBENES NOVADS,4412903166,Gulbīša pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,500260,19,31,,,,,,6,,1,,,,,,3,,,,,,,,,,,,2,1,,,,,,,,,,,,,,18,
GULBENES NOVADS,4413900963,Lizuma vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,500272,36,56,,,,,,11,,3,,,,,,4,,,2,,,1,6,1,,,,3,1,,2,,,,,,,,,,,,8,14
GULBENES NOVADS,4413900964,Lejasciema vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,500264,28,40,,,,,,9,,1,,,,,,2,,,2,,,,,,,,1,1,1,,1,,,,,,,,,,,,9,13
GULBENES NOVADS,4413903373,Gulbenes novada vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,500201,129,159,,6,,,,23,1,3,,,3,2,,,,,5,1,,,,,,,2,,1,,2,,3,,,,,,,1,,,56,50
GULBENES NOVADS,4422900923,Sveķu pamatskola,Speciālās izglītības iestāde,Speciālā pamatskola,Pašvaldība ,500260,47,91,,,,,,2,25,1,,,,1,,,,,,1,,,,,,25,,,1,,1,,1,,31,,,,,2,,,,
IECAVAS NOVADS,4501901009,"Iecavas novada pirmsskolas izglītības iestāde ""Dartija""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,406400,26,31,,,,,,4,,,,,,1,,,,,,,,1,20,1,,,,,,,1,,,1,,,,,,1,,1,,
IECAVAS NOVADS,4501901656,"Iecavas pirmsskolas izglītības iestāde ""Cālītis""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,406400,36,44,,,,,,8,,,,,,1,,,,,,,,2,26,2,,,,,,,2,,,1,,,,,,1,,1,,
IECAVAS NOVADS,4512903301,Iecavas pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,406400,35,55,,2,,,,16,,1,,,,1,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,32,
IECAVAS NOVADS,4513901291,Iecavas vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,406400,75,97,,,,,,14,,2,,,,1,,,,,2,,,,,,,,11,6,1,,1,,2,,,,,,,,,,34,23
IECAVAS NOVADS,4515802737,Rīgas Tālmācības vidusskola,Vispārējās izglītības iestāde,Neklātienes vidusskola,Juridiska vai fiziska persona,406400,31,32,,,,,,,,,,,,1,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,2,26
IECAVAS NOVADS,4515802989,Eiropas Tālmācības vidusskola,Vispārējās izglītības iestāde,Neklātienes vidusskola,Juridiska vai fiziska persona,406400,28,30,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,1,,,,26
IECAVAS NOVADS,4515802999,Rīgas 1. Tālmācības vidusskola,Vispārējās izglītības iestāde,Neklātienes vidusskola,Juridiska vai fiziska persona,406400,39,47,,4,,,,,,,,,,1,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,39
IECAVAS NOVADS,4522901299,Zālītes speciālā pamatskola,Speciālās izglītības iestāde,Speciālā pamatskola,Pašvaldība ,406400,32,69,,,,,,10,25,1,,,,1,,,,,3,,,1,3,,,2,,,1,,1,,1,1,17,,,,,2,,,,
IKŠĶILES NOVADS,4301901447,"Ikšķiles pirmsskolas izglītības iestāde ""Urdaviņa""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,740605,41,41,,,,,,,,,,,,,,,,,,,,3,32,2,,,,,,,2,,,1,,,,,,1,,,,
IKŠĶILES NOVADS,4301903256,"Ikšķiles novada pašvaldības pirmsskolas izglītības iestāde ""Čiekuriņš""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,740605,23,23,,,,,,,,,,,,1,,,,,,,,1,15,2,,,,,,,2,,,,,,,,,1,,1,,
IKŠĶILES NOVADS,4311803322,"Privātā sākumskola ""Ķiparu nams""",Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,Juridiska vai fiziska persona,740605,5,5,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,1,,,,,,,,,,,,,
IKŠĶILES NOVADS,4311903258,Ikšķiles novada pašvaldības vispārējās izglītības iestāde Tīnūžu sākumskola,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,Pašvaldība ,740625,37,48,,,,,,7,,1,,,,1,,,,,1,,,1,12,2,,,14,1,1,,3,,1,3,,,,,,,,,,
IKŠĶILES NOVADS,4312803292,"Pamatskola ""Ikšķiles Brīvā skola""",Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Juridiska vai fiziska persona,740605,17,27,,,,,,5,,,,,1,,,3,,,,,,,5,1,,,11,,,,,,,,,,,,,,,1,,
IKŠĶILES NOVADS,4313900190,Ikšķiles vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,740605,94,132,,,,,,22,,2,,1,1,3,1,12,,,5,,,,,,,,,4,1,,2,,2,,2,,,,,,,,41,33
IKŠĶILES NOVADS,4334002981,Ogres tehnikums,Profesionālās pamata un vidējās izglītības iestāde,Profesionālās izglītības kompetences centrs,Izglītības un zinātnes ministrija,740625,134,153,,1,,,,7,9,1,1,1,1,,,,,6,,,,,,,,84,,2,1,,,,,,,1,,,,1,,,,37
ILŪKSTES NOVADS,4201901864,"Ilūkstes pirmsskolas izglītības iestāde ""Zvaniņš""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,440807,24,29,,,,,,,,,,,3,,,,,,,,2,3,17,1,,,,,,,1,,,,,,,,,1,,1,,
ILŪKSTES NOVADS,4213903005,Bebrenes vispārizglītojošā un profesionālā vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,440844,25,38,,,,,,5,2,,,,,,,,,,,,,,,,,10,,1,1,,,,,,,,,,,1,,,9,9
ILŪKSTES NOVADS,4213903225,Ilūkstes Raiņa vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,440807,55,77,,4,,,,6,5,3,,,,1,,,,,,,,,,,,,9,,1,,1,,,,,,,,,,,,31,16
ILŪKSTES NOVADS,4222900521,Raudas internātpamatskola,Speciālās izglītības iestāde,Speciālā pamatskola,Pašvaldība ,440890,10,20,,,,,,1,6,1,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,1,,,8,
INČUKALNA NOVADS,4301803161,"Privātā pirmsskolas izglītības iestāde ""Gregucis""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Juridiska vai fiziska persona,801817,2,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
INČUKALNA NOVADS,4301901884,"Inčukalna novada pirmsskolas izglītības iestāde ""Minka""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,801864,20,20,,,,,,,,,,,1,,,,,,,,,2,13,1,,,,,,,2,,,,,,,,,,,1,,
INČUKALNA NOVADS,4301901909,"Inčukalna novada Vangažu pirmsskolas izglītības iestāde ""Jancis""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,801817,20,20,,,,,,,,,,,1,,,,,,,,,1,14,1,,,,,,,1,,1,,,,,,,,,1,,
INČUKALNA NOVADS,4312901339,Inčukalna pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,801864,35,56,,,1,,,9,,1,,,,1,,7,,,,,1,1,4,2,,,1,1,,,1,,1,,,,,,,,,,25,
INČUKALNA NOVADS,4313901104,Vangažu vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,801817,51,79,,,,,,12,,1,,,,1,,5,,,2,,1,,9,1,,,,3,1,,2,,1,,,,,,,,,,28,12
JAUNJELGAVAS NOVADS,4501901714,"Seces pagasta pirmsskolas izglītības iestāde ""Vasariņa""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,321078,6,7,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,1,,,,,,,,,,,1,,
JAUNJELGAVAS NOVADS,4501901770,"Daudzeses pagasta pirmsskolas izglītības iestāde ""Čiekuriņš""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,321050,7,7,,,,,,,,,,,,1,,,,,,,,1,3,,,,,,,,1,,,,,,,,,,,1,,
JAUNJELGAVAS NOVADS,4501901772,"Jaunjelgavas pirmsskolas izglītības iestāde ""Atvasīte""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,321007,15,15,,,,,,,,,,,1,,,,,,,,,1,10,1,,,,,,,1,,,,,,,,,,1,,,
JAUNJELGAVAS NOVADS,4512900981,Daudzeses pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,321050,16,27,,,,,,8,,1,,,,1,,,,,,,,,,,,,,1,1,,1,,,,1,,,,,,,,13,
JAUNJELGAVAS NOVADS,4512900983,Seces pagasta pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,321078,19,31,,,,,,7,,1,1,,,,,1,,,,,,,,,,,,2,1,,,,,,,,,,,,,,18,
JAUNJELGAVAS NOVADS,4513901040,Jaunjelgavas vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,321007,30,39,,,,,,5,,1,,,,,,,,,2,,,,,,,,,2,1,,1,,1,,,,,,,,,,15,11
JAUNPIEBALGAS NOVADS,4413900339,Jaunpiebalgas vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,425756,57,72,,,,,,9,,1,,,2,,,1,,,,,,1,10,1,,,1,2,1,,1,,2,1,,,,,,1,,,27,11
JAUNPILS NOVADS,4313900207,Jaunpils vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,905756,38,61,,,,,,13,,1,,,,1,,4,,,1,1,,,8,,,,4,3,1,,1,1,,1,,,,,,,,,6,15
JELGAVA,2801802058,"SIA ""Rūķu māja"" pirmsskolas izglītības iestāde",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Juridiska vai fiziska persona,090000,8,8,,,,,,,,,,,,,,,,,,,,1,6,,,,,,,,1,,,,,,,,,,,,,
JELGAVA,2801802059,"Privātā pirmsskolas izglītības iestāde ""Pūčuks""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Juridiska vai fiziska persona,090000,4,4,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,
JELGAVA,2801802072,"SIA ""Edgars un Tamāra"" pirmsskolas izglītības iestāde ""Pīlādzītis""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Juridiska vai fiziska persona,090000,24,24,,,,,,,,,,,,,,,,,,,,1,20,,,,,,,,1,,,,,,,,1,,,1,,
JELGAVA,2801802236,"SIA ""Evons"" pirmsskolas izglītības iestāde ""Zvaigznīte""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Juridiska vai fiziska persona,090000,17,19,,,,,,,,,,,,,,,,,,,2,1,12,1,,,,,,,1,,,1,,,,,,,1,,,
JELGAVA,2801802254,"SIA ""Mītavas Elektra"" pirmsskolas izglītības iestāde ""Varavīksne""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Juridiska vai fiziska persona,090000,9,9,,,,,,,,,,,,,,,,,,,1,1,5,,,,,,,,1,,,,,,,,,,,1,,
JELGAVA,2801802893,"Privātā pirmsskolas izglītības iestāde ""Saules bērnu dārzs""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Juridiska vai fiziska persona,090000,2,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
JELGAVA,2801803093,"Privātā pirmsskolas izglītības iestāde ""Saliņa""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Juridiska vai fiziska persona,090000,8,8,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,
JELGAVA,2801803233,"Privātā pirmsskolas izglītības iestāde ""Paulas Karlsons""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Juridiska vai fiziska persona,090000,11,11,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,1,,
JELGAVA,2801803260,"Privātā pirmsskolas izglītības iestāde ""Mācos mācīties""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Juridiska vai fiziska persona,090000,13,14,,,,,,,,,,,,1,,,,,,,,,10,,,,,,,,1,,,1,,,,,,,,1,,
JELGAVA,2801803282,"Pirmsskolas izglītības iestāde ""AUSEKLĪTIS""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Juridiska vai fiziska persona,090000,5,5,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,1,,
JELGAVA,2801900523,"Jelgavas pilsētas pašvaldības pirmsskolas izglītības iestāde ""Zemenīte""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,090000,15,16,,,,,,,,,,,,,,,,,,,,,12,1,,,,,,,1,,,,,,,,,1,,1,,
JELGAVA,2801900524,"Jelgavas pilsētas pašvaldības pirmsskolas izglītības iestāde ""Pasaciņa""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,090000,25,25,,,,,,,,,,,,,,,,,,,,,21,1,,,,,,,1,,,,,,,,1,,,1,,
JELGAVA,2801900525,"Jelgavas pilsētas pašvaldības pirmsskolas izglītības iestāde ""Lācītis""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,090000,18,19,,,,,,,,,,,,,,,,,,,,1,13,1,,,,,,,1,,,,1,,,,,1,,1,,
